Nice,Basic_answers
I'm fine,Basic_answers
I am fine,Basic_answers
I am fit,Basic_answers
I am good,Basic_answers
Perfect,Basic_answers
I'm alright,Basic_answers
Good,Basic_answers
Great,Basic_answers
I am well,Basic_answers
Fine,Basic_answers
I am perfect,Basic_answers
Alive,Basic_answers
How do you do Eliza?,Basic_questions
Hello how are you?,Basic_questions
Hello Eliza. How are you?,Basic_questions
HYow do you do?,Basic_questions
How are you Eliza?,Basic_questions
Oh okay,Basic_text
Hm,Basic_text
I see,Basic_text
Hmm,Basic_text
Oh I see,Basic_text
Oh,Basic_text
Hm okay,Basic_text
Okay,Basic_text
Hm ok,Basic_text
Coronavirus detection,Coronavirus_detect
I want to test if I have corona,Coronavirus_detect
Coronavirus test,Coronavirus_detect
How to check if I have coronavirus?,Coronavirus_detect
Do I have coronavirus?,Coronavirus_detect
Do I have corona,Coronavirus_detect
Do I have coronavirus or not,Coronavirus_detect
I want to test for coronavirus...,Coronavirus_detect
Corona risk scanner,Coronavirus_detect
Covid 19 risk scanner,Coronavirus_detect
Do I have Coronavirus??,Coronavirus_detect
Corona risk detection,Coronavirus_detect
Coronavirus risk scanner,Coronavirus_detect
Do I have covid19?,Coronavirus_detect
Corona test,Coronavirus_detect
I want to test for coronavirus,Coronavirus_detect
I want to test for corona,Coronavirus_detect
Coronavirus cases in Switzerland,COVID-19_Data
Coronavirus cases in Uk,COVID-19_Data
Coronavirus cases in Italy,COVID-19_Data
Coronavirus cases in Spain,COVID-19_Data
Coronavirus cases in Turkey,COVID-19_Data
Coronavirus cases in United Kingdom,COVID-19_Data
Coronavirus cases in US,COVID-19_Data
Coronavirus cases in Portugal,COVID-19_Data
Covid-19 cases in India,COVID-19_Data
Covid-19 cases in Spain,COVID-19_Data
Covid-19 cases in Malaysia,COVID-19_Data
Covid-19 cases in Portugal,COVID-19_Data
Covid-19 cases in UK,COVID-19_Data
Coronavirus cases in Germany,COVID-19_Data
Covid-19 cases in China,COVID-19_Data
Covid-19 cases in Australia,COVID-19_Data
Covid-19 cases in Germany,COVID-19_Data
Covid-19 cases in USA,COVID-19_Data
Coronavirus cases in usa,COVID-19_Data
Coronavirus cases in China,COVID-19_Data
Covid-19 cases in US,COVID-19_Data
Covid-19 cases in United Kingdom,COVID-19_Data
Coronavirus cases in Pakistan,COVID-19_Data
Coronavirus cases in Australia,COVID-19_Data
Coronavirus cases in India,COVID-19_Data
How many coronavirus cases are there in my country?,COVID-19_GeneralData
Coronavirus deaths by country,COVID-19_GeneralData
Coronavirus cases worldwide,COVID-19_GeneralData
Covid 19 cases in my country,COVID-19_GeneralData
Coronavirus cases,COVID-19_GeneralData
Coronavirus deaths,COVID-19_GeneralData
Coronavirus deaths in my state,COVID-19_GeneralData
Coronavirus cases in my state,COVID-19_GeneralData
Covid19 cases in my state,COVID-19_GeneralData
Covid 19 deaths,COVID-19_GeneralData
Covid 19 cases,COVID-19_GeneralData
Total number of deaths in my country due to coronavirus,COVID-19_GeneralData
Cases of coronavirus by country,COVID-19_GeneralData
Cases of covid 19,COVID-19_GeneralData
How many covid-19 cases are there in my country?,COVID-19_GeneralData
How many covid cases are there in my country?,COVID-19_GeneralData
How many novel coronavirus cases are there in my country?,COVID-19_GeneralData
Coronavirus cases here,COVID-19_GeneralData
India,COVID-19_GeneralData
What are the total number of deaths caused by coronavirus?,COVID-19_GeneralData
China,COVID-19_GeneralData
Coronavirus symptoms,COVID19_Symptoms
